,id,forma_pago,status
322,YVPKGBGV,tarjeta,pagado
323,DWDCGBOV,tarjeta,pendiente
324,XUVBGBNB,transferencia,pagado
325,HJTAGBNS,transferencia,pagado
326,NLFIGBNJ,transferencia,pagado
327,QVBUGBEW,transferencia,pagado
328,GRRRGBB1,transferencia,pagado
329,IRUCGB9G,transferencia,pagado
330,YNYQGB2C,transferencia,pagado
331,WVIMGB1B,transferencia,pagado
332,KXYBGBNQ,transferencia,pagado
333,OOXBGB8K,efectivo,pagado
334,IZCQGB6M,transferencia,pagado
335,XCUQGBOV,efectivo,pagado
336,LWMBGBD9,efectivo,pagado
337,JWANGBHR,transferencia,pendiente
338,ZYHDGBXT,tarjeta,pagado
339,RAUYGBCI,efectivo,pagado
340,VOEBGB1E,efectivo,pagado
341,TFXEGB5M,transferencia,pagado
342,ISNJGB8U,transferencia,pagado
343,VOLVGB2J,efectivo,pagado
344,XOOOGBBJ,transferencia,pagado
345,AFQLGBYD,transferencia,pagado
346,QAAWGBQK,transferencia,pagado
347,HNYLGBQ0,transferencia,pagado
348,NCOAGBE0,tarjeta,pagado
349,VXLPGBBG,efectivo,pagado
350,NYRTGBCZ,tarjeta,pagado
351,DNGXGB81,efectivo,pagado
352,VXSFGBX3,efectivo,pagado
353,AIEHGBLU,efectivo,pendiente
354,JCIMGBOS,transferencia,pagado
355,BAXHGBME,transferencia,pagado
356,ORTDGB9U,efectivo,pagado
357,KHHJGBOT,tarjeta,pagado
358,GOBBGBM4,tarjeta,pagado
359,BDTLGBEQ,transferencia,pagado
360,TKCEGBZ8,transferencia,pagado
361,LCINGB7D,efectivo,pagado
362,KTBKGBFD,transferencia,pagado
363,DXSYGB3P,efectivo,pagado
364,RWQUGBLY,transferencia,pagado
365,LTJGGBSL,transferencia,pagado
366,HEOWGBZ2,tarjeta,pendiente
367,EVBSGBYI,efectivo,pagado
368,LKIIGB0T,transferencia,pagado
369,FEBEGBWD,transferencia,pagado
370,SIGBGBBA,transferencia,pendiente
371,XNZPGBXV,tarjeta,pagado
372,ZACAGBC7,tarjeta,pagado
373,WLCEGBQ7,tarjeta,pagado
374,NFLQGBJY,efectivo,pendiente
375,GLNLGB7M,efectivo,pagado
376,CPDHGBER,efectivo,pagado
377,OCPYGBKG,efectivo,pendiente
378,GNLSGBE1,tarjeta,pagado
379,KTYUGB9Q,transferencia,pagado
380,UIIVGB6G,transferencia,pagado
381,AXZCGBY2,tarjeta,pagado
382,QJKZGBDC,transferencia,pagado
383,JXJJGBMN,tarjeta,pagado
384,QSZYGB3D,tarjeta,pagado
385,WDNYGBCU,efectivo,pendiente
386,RBVNGBX0,efectivo,pagado
387,HJMZGBD4,transferencia,pagado
388,OFROGBMF,tarjeta,pendiente
389,EIGCGB1N,efectivo,pagado
390,KGZHGBPC,transferencia,pagado
391,GQLWGBYK,tarjeta,pagado
392,JSJIGBIG,efectivo,pagado
393,DCDMGBSX,efectivo,pagado
394,LRRJGB3L,transferencia,pagado
395,QDQJGBB7,efectivo,pagado
396,STPVGB3A,efectivo,pagado
397,BBXCGBC4,transferencia,pagado
398,DQZHGBEW,efectivo,pagado
399,RJKNGBRX,tarjeta,pagado
400,CQNXGB5Q,transferencia,pagado
401,IGNMGBN3,tarjeta,pagado
402,OPPXGB41,tarjeta,pagado
403,QCKIGBNR,tarjeta,pagado
404,WXLKGBRU,transferencia,pagado
405,GGFVGBU8,tarjeta,pagado
406,KKBUGBB5,tarjeta,pendiente
407,TONSGBCL,efectivo,pagado
408,ILHAGBAZ,tarjeta,pagado
409,KCNOGB1J,efectivo,pagado
410,ACTEGBXV,tarjeta,pagado
411,KUWDGBJU,transferencia,pagado
412,WBQYGBSE,transferencia,pagado
413,JEBZGBMS,tarjeta,pagado
414,KKXTGBLE,efectivo,pagado
415,QVCCGB2H,tarjeta,pagado
416,DHNDGBZK,tarjeta,pagado
417,XSKWGB5P,transferencia,pagado
418,YNVSGBYS,efectivo,pagado
419,VDOOGBR5,efectivo,pendiente
420,RRCDGBBU,efectivo,pagado
421,PYLWGB4N,tarjeta,pagado
422,TASVGBD9,efectivo,pagado
423,DJCCGBTL,efectivo,pagado
424,UTVZGBEL,tarjeta,pagado
425,TWVVGBQJ,transferencia,pendiente
426,WGHZGBRC,tarjeta,pendiente
427,XMXPGBVC,transferencia,pagado
428,OZHJGBB1,efectivo,pagado
429,NDKKGBUC,tarjeta,pagado
430,KLKWGBHT,tarjeta,pagado
431,HUJHGBPD,tarjeta,pagado
432,OICLGBLX,tarjeta,pagado
433,LCORGB6O,efectivo,pagado
434,JVCRGBWI,tarjeta,pagado
435,TRDGGBWO,efectivo,pagado
436,BNUIGBF6,efectivo,pagado
437,ABXCGBWW,tarjeta,pagado
438,YVWHGBLV,tarjeta,pagado
439,EQNMGB45,tarjeta,pagado
440,MNVXGBAU,efectivo,pendiente
441,XXGTGBNI,efectivo,pagado
442,VPTEGBZF,tarjeta,pagado
443,OUGYGBJT,tarjeta,pendiente
444,HNEEGB1Y,efectivo,pagado
445,RUFAGBP9,tarjeta,pagado
446,OOEPGBX8,transferencia,pagado
447,SDGWGBL3,transferencia,pagado
448,KLKWGBHC,transferencia,pagado
449,BLMQGBGE,efectivo,pagado
450,AQPAGBGR,efectivo,pagado
451,PHDKGB0C,transferencia,pagado
452,QYDZGBJR,efectivo,pagado
453,THJQGBHS,transferencia,pagado
454,HWRSGBCA,transferencia,pagado
455,OMSJGBRT,transferencia,pagado
456,UXRZGBW2,efectivo,pagado
457,HEBEGBNL,tarjeta,pagado
458,IRQPGBYP,efectivo,pagado
459,DNSQGB68,transferencia,pendiente
460,RLCWGBY6,tarjeta,pagado
461,SPPFGBFI,transferencia,pagado
462,DYMTGBOA,efectivo,pagado
463,CCRFGBUZ,tarjeta,pagado
464,KFPCGBT4,transferencia,pagado
465,WCNRGB0W,tarjeta,pagado
466,RYGMGBQV,efectivo,pagado
467,RICBGBI1,transferencia,pagado
468,TDQAGBN4,tarjeta,pagado
469,JMGEGB3Y,tarjeta,pagado
470,VJHXGBVK,tarjeta,pagado
471,EDSOGBQM,transferencia,pagado
472,GYOQGBFI,efectivo,pagado
473,AZIIGBJ3,transferencia,pagado
474,OYXSGB1W,tarjeta,pagado
475,VQJMGBH9,tarjeta,pendiente
476,FZOAGBES,efectivo,pagado
477,CJRPGBK5,tarjeta,pagado
478,MEFTGB3A,tarjeta,pagado
479,THQRGBIJ,efectivo,pagado
480,HYUXGBWL,transferencia,pagado
481,FGBLGBQP,transferencia,pagado
482,GIBZGBOK,tarjeta,pagado
483,HUSMGBJM,efectivo,pagado
484,HLOPGBCE,efectivo,pagado
485,ETTMGBN0,tarjeta,pagado
486,GVTRGBE9,efectivo,pagado
487,PLWXGB7P,tarjeta,pagado
488,NBMPGB2N,tarjeta,pagado
489,XWZXGBHY,efectivo,pagado
490,VAMZGBSX,transferencia,pagado
491,CILJGBIM,transferencia,pagado
492,WOJMGB48,tarjeta,pagado
493,SETVGBVM,efectivo,pagado
494,PKGYGBXY,transferencia,pagado
495,TLVDGBXC,transferencia,pendiente
496,SBRTGB2K,tarjeta,pagado
497,SERCGB3M,transferencia,pagado
498,VSDPGBFO,transferencia,pagado
499,REQBGB29,efectivo,pagado
500,GLNCGB5I,transferencia,pagado
501,SLCNGBU9,tarjeta,pagado
502,EMWFGB9W,transferencia,pagado
503,OHWDGBTO,transferencia,pagado
504,LJTMGB37,transferencia,pagado
505,AAFYGBZ0,tarjeta,pagado
506,WNBDGBQH,tarjeta,pagado
507,XANOGBSK,efectivo,pagado
508,HORUGB4J,efectivo,pagado
509,AEFCGBXT,tarjeta,pagado
510,FUDFGBFK,tarjeta,pagado
511,LTSCGBRA,efectivo,pagado
512,NIHBGBQ7,transferencia,pagado
513,GTHKGB1W,efectivo,pagado
514,YRJFGBY3,tarjeta,pagado
515,VVGZGBS8,tarjeta,pagado
516,EATCGBXZ,transferencia,pagado
517,WCLFGBA4,efectivo,pagado
518,TVOBGBYP,transferencia,pagado
519,ACGRGB7I,transferencia,pagado
520,WBPHGB20,tarjeta,pagado
521,CPVJGBLU,transferencia,pagado
522,LPAVGBRE,efectivo,pagado
523,LJHEGBM2,tarjeta,pagado
524,OCLSGB78,tarjeta,pagado
525,OLPQGBSW,efectivo,pagado
526,GHFLGBZR,efectivo,pendiente
527,DDJCGBP7,efectivo,pagado
528,GMUPGBTD,transferencia,pagado
529,FVYAGBPX,tarjeta,pagado
530,AGJUGBIX,efectivo,pagado
531,JLRRGB0Q,tarjeta,pagado
532,IKFOGBFZ,efectivo,pagado
533,QRJQGBCO,transferencia,pagado
534,SSHHGBHU,efectivo,pagado
535,TWFUGBI6,efectivo,pagado
536,NMXZGBEM,transferencia,pagado
537,FOZOGBJ8,transferencia,pagado
538,XBTVGBCN,efectivo,pagado
539,XYQJGBKE,efectivo,pagado
540,VOWUGBJB,efectivo,pagado
541,OJUDGB8B,tarjeta,pagado
542,ZDPPGB3H,efectivo,pagado
543,LEVHGBEB,transferencia,pendiente
544,TEZGGBHC,efectivo,pagado
545,VERVGB1V,tarjeta,pagado
546,TDHHGBRD,tarjeta,pagado
547,BGMXGB5J,efectivo,pagado
548,TQWKGBP1,efectivo,pagado
549,MBLKGB61,tarjeta,pagado
550,YSFDGB6W,transferencia,pagado
551,RAACGBIM,tarjeta,pagado
552,CXPGGBHK,transferencia,pagado
553,EQDWGB5A,tarjeta,pagado
554,DHHZGB01,tarjeta,pagado
555,ZJNIGBFS,efectivo,pagado
556,FQFCGB6P,efectivo,pagado
557,BJSZGBDI,efectivo,pagado
558,CMDHGBI6,tarjeta,pagado
559,CBLKGBS5,efectivo,pagado
560,GMESGBSS,efectivo,pagado
561,QQNRGBIB,tarjeta,pagado
562,XTAJGBA3,efectivo,pagado
563,TENOGBU4,efectivo,pagado
564,FUYWGBKT,efectivo,pagado
565,CKJMGB7S,transferencia,pagado
566,EXLUGBW3,tarjeta,pagado
567,KKXAGB94,transferencia,pagado
568,AMAMGB2X,transferencia,pagado
569,DSQCGB76,tarjeta,pagado
570,PFZTGBUR,tarjeta,pagado
571,AIEOGB0T,transferencia,pagado
572,DGAEGBXG,tarjeta,pagado
573,BLZKGB9T,efectivo,pendiente
574,KTZRGBDI,efectivo,pagado
575,GVQZGBNL,efectivo,pagado
576,KBITGBUR,efectivo,pagado
577,PEUOGB09,transferencia,pagado
578,EQCTGBQD,efectivo,pendiente
579,MEETGB8A,transferencia,pagado
580,UHJKGBFI,efectivo,pagado
581,XKUMGBD2,transferencia,pagado
582,DEOCGBS4,tarjeta,pagado
583,LRURGB9C,transferencia,pagado
584,HFJMGBWB,transferencia,pendiente
585,CPTIGBKN,efectivo,pagado
586,UAMJGBO0,transferencia,pendiente
587,YXAQGBSF,efectivo,pagado
588,FKIFGBJ8,efectivo,pagado
589,HXTAGB7M,efectivo,pendiente
590,PYIOGBR6,efectivo,pendiente
591,ZILPGB4D,efectivo,pagado
592,XFSXGBO5,tarjeta,pagado
593,NRYGGBF9,transferencia,pagado
594,MSFIGBHP,efectivo,pagado
595,BNUUGB5Y,efectivo,pagado
596,BKPYGBUL,efectivo,pagado
597,VINIGB8U,efectivo,pagado
598,JREBGB6V,transferencia,pagado
599,LKMJGB97,transferencia,pagado
600,FZRSGBJ5,efectivo,pagado
601,KTRUGBE9,transferencia,pagado
602,LWXBGBF3,efectivo,pagado
603,LENVGBYF,efectivo,pendiente
604,CKHBGBWE,tarjeta,pagado
605,DHGBGBF3,tarjeta,pagado
606,ULOVGB6Y,efectivo,pagado
607,BVHXGBSB,efectivo,pagado
608,YCSKGBBE,efectivo,pagado
609,JZOIGBHE,tarjeta,pagado
610,FMUWGBSE,tarjeta,pagado
611,PQGOGBO9,efectivo,pagado
612,NOHTGB1G,transferencia,pagado
613,VJTSGBYV,efectivo,pagado
614,CHUQGBO0,transferencia,pagado
615,FPQJGBT9,tarjeta,pagado
616,YDHNGBH7,efectivo,pagado
617,YMBGGBRV,transferencia,pagado
618,KCYKGB3E,efectivo,pagado
619,LSKHGBYE,efectivo,pagado
620,FKHCGB3T,transferencia,pendiente
621,PXKFGBVS,efectivo,pagado
622,KDCQGBNA,efectivo,pagado
623,HCKIGBKA,tarjeta,pagado
624,OPPQGB7D,tarjeta,pagado
625,OJAYGB77,tarjeta,pendiente
626,QBQSGBP8,tarjeta,pagado
627,VYCOGBYD,efectivo,pagado
628,QTIKGBOY,tarjeta,pagado
629,VSHZGBVD,transferencia,pagado
630,CFQAGBQI,transferencia,pagado
631,FDBPGBUT,tarjeta,pagado
632,NNCKGB6H,transferencia,pagado
633,KYPNGBIT,tarjeta,pagado
634,KCUOGBVO,efectivo,pagado
635,CXRPGBAD,tarjeta,pagado
636,LEZTGBAP,tarjeta,pagado
637,XLJPGBVI,transferencia,pagado
638,BJCLGBR0,tarjeta,pagado
639,TYSJGBNM,tarjeta,pagado
640,LNIQGBQK,transferencia,pagado
641,GMBSGB6E,efectivo,pagado
642,IMOHGB8W,transferencia,pagado
643,YEFNGBD5,tarjeta,pendiente
644,VATDGB57,transferencia,pagado
645,XVKCGBS7,transferencia,pagado
646,NLOWGBP7,transferencia,pagado
647,SYKQGBGA,efectivo,pagado
648,ARZWGBEP,efectivo,pagado
649,DGRQGB02,efectivo,pagado
650,QKMDGBDZ,efectivo,pagado
651,YUCJGBKG,efectivo,pagado
652,RYNSGBVT,transferencia,pagado
653,VFXWGBSK,efectivo,pagado
654,XHEFGBVM,tarjeta,pagado
655,LDUKGBW9,efectivo,pagado
656,XDSFGBHX,tarjeta,pagado
657,AYDIGBZN,transferencia,pendiente
658,RDHQGBI2,tarjeta,pagado
659,TTZZGB6B,transferencia,pagado
660,IOBZGBFG,efectivo,pagado
661,XFWXGB3C,transferencia,pendiente
662,PMAOGB7Y,tarjeta,pagado
663,MZBKGBDV,tarjeta,pagado
664,ETOSGBQ4,transferencia,pagado
665,YFGBGB0V,transferencia,pagado
666,PWDSGBOL,transferencia,pagado
667,HAKCGBY5,transferencia,pagado
668,MZGXGBRN,transferencia,pagado
669,XEJYGB62,efectivo,pendiente
670,XSHFGB2E,efectivo,pagado
671,BFQFGBD7,efectivo,pagado
672,BLFVGBQU,efectivo,pagado
673,MECSGBY5,tarjeta,pendiente
674,LTJUGB19,transferencia,pagado
675,KQXWGBPW,tarjeta,pagado
676,JHRGGBQ9,efectivo,pagado
677,BBDPGBBK,tarjeta,pagado
678,ZSHTGBZ4,efectivo,pagado
679,JTEYGBYF,transferencia,pagado
680,MZZKGB50,transferencia,pagado
681,YDGFGBKB,transferencia,pagado
682,FOYUGB0W,efectivo,pendiente
683,TVTSGBLU,transferencia,pagado
684,KHGHGBUU,efectivo,pagado
